InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
538158,84406B,CREAM CUPID HEARTS COAT HANGER,15,11/11/2023 17:28,2.74,12150,United Kingdom
539124,20727,LUNCH BAG BLACK SKULL,24,06/20/2023 11:48,1.69,12056,Netherlands
539209,22625,RED KITCHEN SCALES,4,07/16/2023 16:17,9.36,,France
538715,20725,LUNCH BAG RED RETROSPOT,24,12/29/2023 14:37,1.6,12319,United Kingdom
536940,47566,PARTY BUNTING,14,02/26/2023 10:01,4.51,12342,Spain
537252,POST,POSTAGE,1,06/11/2023 11:57,18.0,12312,Netherlands
536663,84879,assorted colour bird ornament,14,04/16/2023 17:13,1.83,12147,United Kingdom
537372,22625,RED KITCHEN SCALES,7,02/16/2023 15:52,9.17,12237,Germany
538996,20727,LUNCH BAG BLACK SKULL,6,09/24/2023 15:52,1.8,12081,  united kingdom
538229,22633,HAND WARMER UNION JACK,22,06/29/2023 08:47,2.05,12161,France
538782,21212,PACK OF 72 RETROSPOT CAKE CASES,14,12/22/2023 14:51,0.58,12291,United Kingdom
536812,22625,RED KITCHEN SCALES,17,07/24/2023 11:16,8.4,12150,United Kingdom
537711,22111,scottie dog hot water bottle,5,07/05/2023 15:07,4.61,12084,Spain
536526,23245,SET OF 3 REGENCY CAKE TINS,17,12/07/2023 10:11,5.3,12003,UK
536913,23355,HOT WATER BOTTLE KEEP CALM,9,02/06/2023 14:16,4.3,12266,Netherlands
538545,20728,lunch bag cars blue,9,12/31/2023 19:08,1.58,12273,United Kingdom
536635,23355,HOT WATER BOTTLE KEEP CALM,6,09/03/2023 13:19,4.26,12213,UK
538181,21212,  Pack Of 72 Retrospot Cake Cases  ,22,11/24/2023 12:52,0.51,12009,United Kingdom
536826,22625,RED KITCHEN SCALES,8,11/16/2023 18:33,7.89,12008,Germany
536485,21730,GLASS STAR FROSTED T-LIGHT HOLDER,4,11/17/2023 17:57,4.66,12293,United Kingdom
537629,22625,RED KITCHEN SCALES,16,08/03/2023 13:34,8.82,12263,United Kingdom
538031,22632,HAND WARMER RED POLKA DOT,1,11/04/2023 17:53,1.84,12063,United Kingdom
536428,22111,SCOTTIE DOG HOT WATER BOTTLE,13,09/10/2023 10:54,4.75,12232,Belgium
536687,22960,JAM MAKING SET WITH JARS,14,10/21/2023 18:08,4.7,12119,United Kingdom
538831,20728,LUNCH BAG CARS BLUE,3,11/26/2023 13:44,1.86,12178,United Kingdom
C537739,22745,  Poppy'S Playhouse Bedroom  ,-2,09/06/2023 18:39,2.01,12092,  united kingdom
C538122,22622,BOX OF VINTAGE ALPHABET BLOCKS,-15,12/07/2023 10:43,10.09,12127,United Kingdom
536691,71053,WHITE METAL LANTERN,4,11/09/2023 11:15,3.09,12009,United Kingdom
537989,84406B,CREAM CUPID HEARTS COAT HANGER,4,10/02/2023 11:23,2.6,12347,United Kingdom
537026,21471,TRAVEL CARD WALLET SKULL,13,09/12/2023 13:15,0.38,12172,Germany
537789,22625,RED KITCHEN SCALES,13,07/09/2023 13:51,7.87,,Netherlands
539045,20725,LUNCH BAG RED RETROSPOT,21,04/11/2023 08:20,1.84,12271,France
539044,85123A,WHITE HANGING HEART T-LIGHT HOLDER,7,11/29/2023 16:53,2.76,12163,United Kingdom
536710,23355,HOT WATER BOTTLE KEEP CALM,14,07/11/2023 12:35,4.0,12217,Belgium
C536550,22745,POPPY'S PLAYHOUSE BEDROOM,-11,03/10/2023 12:57,1.95,12010,France
536549,21754,HOME BUILDING BLOCK WORD,21,03/27/2023 12:37,5.58,12120,France
538259,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,01/06/2023 10:15,4.69,12049,U.K.
537890,71053,  White Metal Lantern  ,6,09/04/2023 11:50,3.78,12000,  united kingdom
536852,22111,scottie dog hot water bottle,18,12/01/2023 17:00,5.34,12315,United Kingdom
538415,22423,REGENCY CAKESTAND 3 TIER,3,03/27/2023 08:26,12.94,12040,Belgium
537491,84029E,RED WOOLLY HOTTIE WHITE HEART,10,04/11/2023 17:49,3.91,12067,United Kingdom
538195,20727,LUNCH BAG BLACK SKULL,14,11/09/2023 10:40,1.86,,Netherlands
536733,47566,PARTY BUNTING,13,07/09/2023 18:56,5.35,12248,United Kingdom
537104,22960,JAM MAKING SET WITH JARS,21,09/16/2023 15:48,4.57,12039,United Kingdom
538081,22745,POPPY'S PLAYHOUSE BEDROOM,22,11/24/2023 17:51,2.14,12110,United Kingdom
537853,22633,HAND WARMER UNION JACK,14,12/23/2023 13:37,1.79,12138,United Kingdom
537164,22423,REGENCY CAKESTAND 3 TIER,7,02/02/2023 09:19,13.75,12308,United Kingdom
538487,21471,  Travel Card Wallet Skull  ,5,03/06/2023 14:05,0.48,12202,Netherlands
538916,21212,PACK OF 72 RETROSPOT CAKE CASES,24,04/27/2023 11:03,0.62,12094,United Kingdom
537784,21777,RECIPE BOX WITH METAL HEART,7,08/19/2023 16:48,5.83,12293,United Kingdom
537220,21730,GLASS STAR FROSTED T-LIGHT HOLDER,22,03/12/2023 19:21,4.23,12130,Spain
538508,84991,60 TEATIME FAIRY CAKE CASES,22,05/01/2023 11:22,0.79,12060,United Kingdom
537550,23298,SPACEBOY LUNCH BOX,12,09/27/2023 17:37,2.17,12006,United Kingdom
536432,21755,LOVE BUILDING BLOCK WORD,9,06/14/2023 11:19,5.66,12294,United Kingdom
537378,71053,WHITE METAL LANTERN,17,05/31/2023 11:29,3.68,12250,United Kingdom
538718,22633,HAND WARMER UNION JACK,4,10/15/2023 09:26,1.91,12162,United Kingdom
537490,47566,PARTY BUNTING,1,05/27/2023 14:35,5.62,12165,Belgium
537671,84029E,RED WOOLLY HOTTIE WHITE HEART,19,11/03/2023 12:53,3.83,12298,United Kingdom
537727,23298,  Spaceboy Lunch Box  ,1,06/10/2023 13:31,2.16,12056,Netherlands
538043,22752,SET 7 BABUSHKA NESTING BOXES,5,02/11/2023 10:35,7.9,12199,France
539084,21755,  Love Building Block Word  ,16,02/11/2023 11:31,6.52,12314,United Kingdom
537064,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,18,07/26/2023 11:10,4.31,12053,Belgium
C537473,84991,60 TEATIME FAIRY CAKE CASES,-2,07/31/2023 14:04,0.79,12193,U.K.
536997,21777,RECIPE BOX WITH METAL HEART,6,07/26/2023 15:55,5.68,12238,United Kingdom
539121,84406B,CREAM CUPID HEARTS COAT HANGER,21,11/26/2023 11:55,3.06,12319,UK
C538882, 21929 ,JUMBO BAG PINK POLKADOT,-20,12/15/2023 16:13,2.14,12328,United Kingdom
537733,21754,HOME BUILDING BLOCK WORD,18,08/02/2023 15:23,6.07,,United Kingdom
538614,71053,WHITE METAL LANTERN,17,12/03/2023 15:41,3.06,,United Kingdom
538335, 22632 ,HAND WARMER RED POLKA DOT,9,02/01/2023 11:44,1.84,12288,United Kingdom
539039,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,3,09/30/2023 18:20,4.04,,United Kingdom
537879,22745,poppy's playhouse bedroom,17,12/03/2023 15:13,2.13,12349,United Kingdom
538456,M,MANUAL,1,12/13/2023 08:55,5.0,12341,United Kingdom
538418,84991,60 TEATIME FAIRY CAKE CASES,5,12/13/2023 17:24,0.96,12286,  united kingdom
538038,22752,SET 7 BABUSHKA NESTING BOXES,2,01/13/2023 15:10,7.3,,Spain
537742,84029E,RED WOOLLY HOTTIE WHITE HEART,22,12/03/2023 18:38,3.38,12315,United Kingdom
538037,20725,LUNCH BAG RED RETROSPOT,18,09/05/2023 12:18,1.85,12092,United Kingdom
537023,21755,LOVE BUILDING BLOCK WORD,21,10/02/2023 17:20,5.75,12332,United Kingdom
537941,22111,SCOTTIE DOG HOT WATER BOTTLE,5,11/19/2023 11:58,5.18,12154,Portugal
538912,84406B,CREAM CUPID HEARTS COAT HANGER,20,12/20/2023 08:09,2.79,12344,United Kingdom
538487,20727,LUNCH BAG BLACK SKULL,22,03/06/2023 14:05,1.86,12202,Netherlands
538286,21777,RECIPE BOX WITH METAL HEART,8,11/04/2023 11:07,6.16,12287,United Kingdom
537805,22625,RED KITCHEN SCALES,23,11/22/2023 13:28,9.48,12172,Germany
538063,20725,LUNCH BAG RED RETROSPOT,5,11/24/2023 19:38,0.0,12259,United Kingdom
536882,22745,POPPY'S PLAYHOUSE BEDROOM,23,12/13/2023 12:33,2.08,12060,United Kingdom
537006, 21754 ,HOME BUILDING BLOCK WORD,2,03/01/2023 12:14,5.67,12045,Germany
538722,22625,RED KITCHEN SCALES,4,09/13/2023 13:16,9.77,12223,Ireland
538573,71053,WHITE METAL LANTERN,14,11/15/2023 10:37,3.07,12042,United Kingdom
538923,21754,HOME BUILDING BLOCK WORD,10,12/17/2023 17:12,6.11,12233,United Kingdom
537371,85123A,white hanging heart t-light holder,2,05/06/2023 12:05,2.91,12006,United Kingdom
536482,84029E,RED WOOLLY HOTTIE WHITE HEART,13,10/23/2023 18:48,3.53,12179,U.K.
537121, 22633 ,HAND WARMER UNION JACK,13,08/03/2023 10:36,1.98,12321,Australia
538016,POST,POSTAGE,1,11/16/2023 11:31,18.0,12005,United Kingdom
538025,M,MANUAL,1,04/08/2023 11:37,5.0,12016,United Kingdom
538808,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,15,11/24/2023 11:48,3.57,12244,Germany
536426,20727,  Lunch Bag Black Skull  ,10,11/21/2023 11:03,0.0,12287,UK
537148,20725,LUNCH BAG RED RETROSPOT,2,06/28/2023 13:18,1.71,12033,United Kingdom
536381,22622,box of vintage alphabet blocks,14,07/05/2023 16:37,10.66,12215,United Kingdom
537679,71053,WHITE METAL LANTERN,13,12/01/2023 15:44,3.08,12073,United Kingdom
538419,23203,JUMBO BAG DOILY PATTERNS,19,07/13/2023 09:31,2.31,12159,France
539096,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,3,07/08/2023 10:28,3.41,12289,Belgium
C537305,21777,RECIPE BOX WITH METAL HEART,-16,04/30/2023 09:39,5.58,12335,Netherlands
537365,21755,LOVE BUILDING BLOCK WORD,23,02/02/2023 13:44,6.74,12031,Spain
539013,DOT,DOTCOM POSTAGE,1,11/25/2023 14:33,15.0,12236,Ireland
538816,BANK CHARGES,BANK CHARGES,1,12/16/2023 10:51,15.0,12093,United Kingdom
537810,22960,JAM MAKING SET WITH JARS,8,12/27/2023 16:18,3.93,12264,Italy
536954,21777,RECIPE BOX WITH METAL HEART,4,12/29/2023 15:35,6.21,12136,Netherlands
538718,21931,  Jumbo Storage Bag Suki  ,14,10/15/2023 09:26,2.16,12162,United Kingdom
536992,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,2,11/13/2023 13:40,3.79,12001,United Kingdom
536495,22197,SMALL POPCORN HOLDER,1,12/21/2023 14:25,0.89,12081,United Kingdom
536447,20727,LUNCH BAG BLACK SKULL,18,11/23/2023 14:50,1.72,12344,United Kingdom
537622,M,MANUAL,1,07/29/2023 13:25,5.0,12016,  united kingdom
538742,21777,RECIPE BOX WITH METAL HEART,23,08/20/2023 08:23,6.19,12037,United Kingdom
537407,84406B,CREAM CUPID HEARTS COAT HANGER,12,11/22/2023 11:37,3.1,12279,Spain
539121,84991,60 TEATIME FAIRY CAKE CASES,4,11/26/2023 11:55,0.8,12319,UK
538079,BANK CHARGES,BANK CHARGES,1,12/26/2023 10:05,15.0,12185,United Kingdom
537614,22960,JAM MAKING SET WITH JARS,20,02/06/2023 18:26,0.0,12192,Germany
536750,22197,SMALL POPCORN HOLDER,22,10/02/2023 16:31,0.77,12094,United Kingdom
537627,22960,JAM MAKING SET WITH JARS,7,11/27/2023 11:53,3.92,12085,United Kingdom
538186,84879,ASSORTED COLOUR BIRD ORNAMENT,3,12/02/2023 16:41,1.78,12123,Australia
537261,47566,PARTY BUNTING,16,11/03/2023 17:59,5.04,12257,France
536605,21929,JUMBO BAG PINK POLKADOT,18,11/05/2023 17:59,2.2,12248,United Kingdom
536672,21931,jumbo storage bag suki,3,06/10/2023 17:46,2.03,,United Kingdom
537058,85123A,WHITE HANGING HEART T-LIGHT HOLDER,18,01/21/2023 11:52,2.81,12296,United Kingdom
536466,21755,love building block word,8,08/08/2023 12:33,0.0,12137,United Kingdom
536642,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,1,04/30/2023 14:46,4.27,12173,United Kingdom
536936,21777,  Recipe Box With Metal Heart  ,7,03/05/2023 14:01,5.66,,United Kingdom
536700,POST,POSTAGE,1,12/21/2023 18:34,18.0,12140,United Kingdom
536882,22625,RED KITCHEN SCALES,16,12/13/2023 12:33,7.79,12060,United Kingdom
538166,20727,LUNCH BAG BLACK SKULL,4,04/03/2023 11:40,1.81,12128,France
538565,71053,WHITE METAL LANTERN,24,11/12/2023 09:21,3.08,12331,Germany
537326,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,1,05/31/2023 15:29,3.41,12226,United Kingdom
538131,20727,LUNCH BAG BLACK SKULL,12,08/28/2023 09:44,1.87,12260,Italy
538024,22748,POPPY'S PLAYHOUSE KITCHEN,10,12/26/2023 09:45,2.27,12237,Germany
537767,71053,WHITE METAL LANTERN,16,02/23/2023 09:10,3.57,12181,United Kingdom
537861,84029E,red woolly hottie white heart,1,12/12/2023 19:53,4.15,12209,United Kingdom
539099,22748,POPPY'S PLAYHOUSE KITCHEN,12,01/17/2023 10:51,2.25,12331,Germany
538750,23203,JUMBO BAG DOILY PATTERNS,22,05/15/2023 18:33,2.11,12080,UK
538360,22625,RED KITCHEN SCALES,20,05/02/2023 17:08,7.88,12119,United Kingdom
537909,22423,REGENCY CAKESTAND 3 TIER,17,08/11/2023 11:43,13.64,12209,United Kingdom
536883,84879,ASSORTED COLOUR BIRD ORNAMENT,16,06/06/2023 13:39,0.0,12140,United Kingdom
536453,22622,BOX OF VINTAGE ALPHABET BLOCKS,24,12/22/2023 18:59,11.02,12294,United Kingdom
537265,21929,JUMBO BAG PINK POLKADOT,5,11/23/2023 16:30,1.99,12291,United Kingdom
537110,22748,POPPY'S PLAYHOUSE KITCHEN,21,07/17/2023 10:43,2.36,12045,Germany
537709,22633,hand warmer union jack,19,08/27/2023 13:53,1.86,12227,United Kingdom
536637,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,11/16/2023 09:58,2.72,12021,Netherlands
537444,20725,LUNCH BAG RED RETROSPOT,9,09/10/2023 13:06,1.49,12204,United Kingdom
538404,23298,SPACEBOY LUNCH BOX,22,10/23/2023 11:55,1.82,12187,United Kingdom
538193,22111,SCOTTIE DOG HOT WATER BOTTLE,10,01/13/2023 19:18,4.93,12234,Ireland
536821,23298,SPACEBOY LUNCH BOX,20,07/24/2023 09:35,2.14,12154,Portugal
536898,DOT,DOTCOM POSTAGE,1,11/12/2023 15:37,15.0,12095,Germany
537668,21471,TRAVEL CARD WALLET SKULL,12,08/25/2023 15:54,0.43,,  united kingdom
538293,21931,JUMBO STORAGE BAG SUKI,23,12/20/2023 18:07,2.22,12171,Belgium
538976,22423,REGENCY CAKESTAND 3 TIER,20,12/12/2023 08:43,14.37,12080,United Kingdom
537444,21754,home building block word,14,09/10/2023 13:06,6.56,12204,United Kingdom
537117,22423,REGENCY CAKESTAND 3 TIER,8,12/03/2023 11:12,13.87,12308,United Kingdom
537679,21730,GLASS STAR FROSTED T-LIGHT HOLDER,17,12/01/2023 15:44,4.24,12073,United Kingdom
537914,22111,  Scottie Dog Hot Water Bottle  ,7,04/15/2023 11:04,5.02,12156,United Kingdom
538259,21471,TRAVEL CARD WALLET SKULL,18,01/06/2023 10:15,0.48,12049,U.K.
539042,22622,BOX OF VINTAGE ALPHABET BLOCKS,11,12/15/2023 14:55,9.51,12218,United Kingdom
C538353,23355,HOT WATER BOTTLE KEEP CALM,-2,06/15/2023 16:59,4.11,12083,United Kingdom
537690,20727,LUNCH BAG BLACK SKULL,19,08/20/2023 13:58,1.68,12297,United Kingdom
537882,84406B,CREAM CUPID HEARTS COAT HANGER,21,10/04/2023 16:15,2.59,12230,United Kingdom
537168,21212,PACK OF 72 RETROSPOT CAKE CASES,20,04/26/2023 13:39,0.59,12211,Portugal
537900,21755,LOVE BUILDING BLOCK WORD,10,11/23/2023 15:16,6.03,12170,United Kingdom
537522,22748,POPPY'S PLAYHOUSE KITCHEN,9,12/25/2023 11:36,2.06,,United Kingdom
537699,21754,HOME BUILDING BLOCK WORD,17,03/22/2023 12:36,6.08,12103,United Kingdom
539114,22625,RED KITCHEN SCALES,15,03/03/2023 10:16,9.53,12162,United Kingdom
537825,84406B,CREAM CUPID HEARTS COAT HANGER,21,12/14/2023 16:39,2.93,12192,Germany
536906,21755,LOVE BUILDING BLOCK WORD,2,02/10/2023 14:07,6.34,12094,United Kingdom
537738,22423,REGENCY CAKESTAND 3 TIER,6,11/26/2023 14:20,12.62,12142,United Kingdom
538715,20727,LUNCH BAG BLACK SKULL,3,12/29/2023 14:37,1.53,12319,United Kingdom
537476,23203,JUMBO BAG DOILY PATTERNS,4,12/25/2023 11:14,2.14,12273,United Kingdom
537515,22752,SET 7 BABUSHKA NESTING BOXES,4,11/27/2023 10:38,7.81,12268,France
537613,21929,JUMBO BAG PINK POLKADOT,16,08/11/2023 17:33,2.05,12106,United Kingdom
537953,22111,SCOTTIE DOG HOT WATER BOTTLE,10,09/26/2023 17:56,4.81,12124,United Kingdom
538878,21931,JUMBO STORAGE BAG SUKI,19,11/20/2023 14:32,2.33,12120,France
538864,21730,glass star frosted t-light holder,12,05/28/2023 18:49,4.33,12261,Spain
536602,20728,LUNCH BAG CARS BLUE,16,08/06/2023 16:52,1.75,12309,United Kingdom
538012,21471,TRAVEL CARD WALLET SKULL,21,11/26/2023 16:10,0.4,12119,United Kingdom
537275,84991,60 TEATIME FAIRY CAKE CASES,9,10/27/2023 16:01,0.84,12054,Ireland
537828,84029E,  Red Woolly Hottie White Heart  ,4,12/09/2023 16:41,4.19,12187,United Kingdom
537236,22748,  Poppy'S Playhouse Kitchen  ,11,05/22/2023 15:02,2.11,12242,United Kingdom
538928,71053,WHITE METAL LANTERN,21,02/09/2023 08:12,3.76,12208,United Kingdom
538916,21777,RECIPE BOX WITH METAL HEART,19,04/27/2023 11:03,6.28,12094,United Kingdom
536759,22632,HAND WARMER RED POLKA DOT,4,12/12/2023 16:57,1.82,12270,U.K.
536865,22622,  Box Of Vintage Alphabet Blocks  ,23,11/09/2023 19:42,10.67,12227,United Kingdom
536997,23298,SPACEBOY LUNCH BOX,4,07/26/2023 15:55,1.79,12238,United Kingdom
536372,84029E,RED WOOLLY HOTTIE WHITE HEART,2,09/14/2023 12:53,3.66,12067,United Kingdom
537589,22197,SMALL POPCORN HOLDER,1,11/28/2023 17:56,0.87,12269,Spain
537281,84029E,RED WOOLLY HOTTIE WHITE HEART,11,11/02/2023 08:00,3.54,12178,United Kingdom
538945,71053,WHITE METAL LANTERN,21,12/27/2023 10:59,3.31,12056,Netherlands
